,Faculty Member,Ph.D.,Masters,Bachelors
211,"                MacKenzie, J. Devin",University of Florida,University of Florida,Massachusetts Institute of Technology
212,"                  Mackenzie-Helnwein, Peter",Vienna University of Technology,,
213,"                  Majumdar, Arka",Not available,Not available,Not available
214,"                  Malakooti, Mohammad",,"University of Florida,  Iran University of Science and Technology",Iran University of Science and Technology
215,"                  Mamidala, Ramulu",University of Washington,,
216,"                  Mamishev, Alex",Not available,Not available,Not available
217,"                  Manohar, Krithika",University of Washington,University of Washington,University of Massachusetts Lowell
218,"                  Marchand, Jorge",University of California,,Johns Hopkins University
219,"                  Marshall, Julian",Energy & Resources,Energy & Resources,Chemical Engineering
220,"                  Masiello, David",Not available,Not available,Not available
221,"                  Mastrangelo, Christina",Arizona State University,Arizona State University,Arizona State University
222,"                  Maurer, Brett",Virginia Tech,Syracuse University,Syracuse University
223,"                Max, Ludo",Virginia Tech,Syracuse University,Syracuse University
224,"                  McCormack, Edward",University of Washington,University of Washington,University of Washington
225,"                  McDonald, David",Information & Computer Science,,
226,"                Meila, Marina",Information & Computer Science,,
227,"                  Mesbahi, Mehran",University of Southern California,"University of Southern California,  University of Southern California",
228,"                  Mescher, Ann",Ohio State University,,
229,"                Meschke, J. Scott",Ohio State University,,
230,"                  Meza, Lucas",California Institute of Technology,California Institute of Technology,University of California Los Angeles
231,"                  Mittal, Shachi",University of Illinois at Urbana-Champaign,Indian Institute of Technology,Indian Institute of Technology
232,"                Miyaoka, Robert",Not available,Not available,Not available
233,"                  Moazeni, Sajjad",Not available,Not available,Not available
234,"                  Mones, Barbara",Not available,Not available,Not available
235,"                Montgomery, David",Not available,Not available,Not available
236,"                  Morgansen, Kristi",Engineering Sciences,Mechanical Engineering,
237,"                  Moritz, Chet",Not available,Not available,Not available
238,"                  Mostafavi, Sara",Not available,Not available,Not available
239,"                  Motley, Michael",Princeton University,Virginia Tech,The Citadel
240,"                  Mouradian, Sara",Not available,Not available,Not available
241,"                  Muench, Stephen",University of Washington,University of Washington,
242,"                  Munson, Sean",School of Information,,
243,"                  Murry, Charles",Not available,Not available,Not available
244,"                  Nance, Elizabeth",Johns Hopkins University,,North Carolina State University
245,"                  Neils, Christopher",Not available,Not available,Not available
246,"                  Neumann, Rebecca",Massachusetts Institute of Technology,,"Rice University,  Rice University"
247,"                  Nijssen, Bart",University of Washington,Wageningen Agricultural University,
248,"                  Nivala, Jeffrey",Not available,Not available,Not available
249,"                Noble, William",Not available,Not available,Not available
250,"                  Novosselov, Igor",University of Washington,2002,
251,"                  O'Donnell, Matthew",Not available,Not available,Not available
252,"                Olanrewaju, Ayokunle",Not available,Not available,Not available
253,"                  Orsborn, Amy",Not available,Not available,Not available
254,"                  Oskin, Mark",Not available,Not available,Not available
255,"                  Ostendorf, Mari",Not available,Not available,Not available
256,"                  Saenz Otero, Alvar",Aerospace Systems,Electrical Engineering and Computer Science,
257,"                  Overney, Rene",Experimental Condensed Matter Physics,Theoretical Physics,Physics
258,"                Patel, Shwetak",Not available,Not available,Not available
259,"                  Patten, Eli",University of California,University of California,Washington State University
260,"                  Pauzauskie, Peter",Physical Chemistry,,"Chemical Engineering,  Chemistry and Mathematics"
261,"                  Peek, Nadya",Media Arts & Sciences,Media Arts & Sciences,
262,"                  Pelivanov, Ivan",Not available,Not available,Not available
263,"                  Perkins, Hal",Not available,Not available,Not available
264,"                  Peter, Simon",Not available,Not available,Not available
265,"                  Pfaendtner, Jim",2007,,Georgia Institute of Technology
266,"                  Polagye, Brian",University of Washington,University of Washington,Princeton University
267,"                  Pollack, Gerald",Not available,Not available,Not available
268,"                  Poovendran, Radha",Not available,Not available,Not available
269,"                  Popovic, Zoran",Not available,Not available,Not available
270,"                Posner, Jonathan",University of California at Irvine,von Karman Institute,University of California at Irvine
271,"                Pozzo, Lilo",Carnegie Mellon University,,University of Puerto Rico Mayagüez
272,"                  Prybutok, Alex",Northwestern University,,"University of Texas at Austin,  University of Texas at Austin"
273,"                  Pun, Suzie",Not available,Not available,Not available
274,"                  Rajivan, Prashanth",Arizona State University,Arizona State University,
275,"                  Rao, Rajesh",Not available,Not available,Not available
276,"                  Rao, Anup",Not available,Not available,Not available
277,"                  Ratliff, Lillian",Not available,Not available,Not available
278,"                  Ratner, Daniel",Not available,Not available,Not available
279,"                  Ratner, Alexander",Not available,Not available,Not available
280,"                Ratner, Buddy",Not available,Not available,Not available
281,"                  Ray, Jessica",Environmental & Chemical Engineering,Environmental & Chemical Engineering,Washington University in St. Louis
282,"                  Reed, Dorothy",Princeton University,Princeton University,
283,"                  Regan, Amelia",Ph.D.,Applied Mathematics,Systems Engineering
284,"                  Reges, Stuart",Not available,Not available,Not available
285,"                  Regnier, Michael",Not available,Not available,Not available
286,"                  Reinecke, Katharina",Not available,Not available,Not available
287,"                  Reinhall, Per",California Institute of Technology,California Institute of Technology,University of Washington
288,"                Reynolds, Matt",Not available,Not available,Not available
289,"                  Ribes, David",Sociology,,
290,"                  Ritcey, James",Not available,Not available,Not available
291,"                  Robinson, Jenny",,,
292,"                Roesler, Axel",,,
293,"                  Roesner, Franziska",Not available,Not available,Not available
294,"                  Rombokas, Eric",University Of Washington,Rice University,
295,"                  Rorrer, Julie",University of California,,Arizona State University
296,"                  Rosner, Daniela",School of Information,Computer Science,
297,"                  Rothvoss, Thomas",Not available,Not available,Not available
298,"                  Roumeli, Eleftheria",Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,
299,"                  Roy, Sumit",Not available,Not available,Not available
300,"                  Rubinstein, Jay",Not available,Not available,Not available
301,"                  Rudell, Jaques",Not available,Not available,Not available
302,"                  Rutz, Ben",University of Washington,,University of Rochester
303,"                  Ruzzo, Larry",Not available,Not available,Not available
304,"                  Salviato, Marco",Mechanical Engineering,,
305,"                  Sanders, Joan",Not available,Not available,Not available
306,"                  Sarikaya, Mehmet",University of California,University of California,Middle East Technical Univ.
307,"                  Sathe, Visvesh",Not available,Not available,Not available
308,"                  Sauro, Herbert",Not available,Not available,Not available
309,"                  Scatena, Marta",Not available,Not available,Not available
310,"                  Schmidt, Ludwig",Not available,Not available,Not available
311,"                  Schwartz, Daniel",University of California,University of California,University of Minnesota
312,"                Seelig, Georg",Not available,Not available,Not available
313,"                  Seibel, Eric",University of Washington,University of California,Cornell University
314,"                  Seitz, Steven",Not available,Not available,Not available
315,"                  Sellers, Drew",Not available,Not available,Not available
316,"                Shapiro, Linda",Not available,Not available,Not available
317,"                Shean, David",Earth and Space Sciences,,
318,"                Shen, Qing",Earth and Space Sciences,,
319,"                  Shen, Steve",University of California,National Taiwan University,National Taiwan University
320,"                Sherr, Kenneth",Not available,Not available,Not available
321,"                  Shi, C.J.",Not available,Not available,Not available
322,"                  Shlizerman, Eli",Not available,Not available,Not available
323,"                  Shumlak, Uri",University of California at Berkeley,,
324,"                  Sims, Christopher",Not available,Not available,Not available
325,"                Sinanan, Mika",Not available,Not available,Not available
326,"                Smith, Joshua",Not available,Not available,Not available
327,"                  Smith, Noah",Not available,Not available,Not available
328,"                  Sniadecki, Nate",University of Maryland at College Park,University of Maryland at College Park,2000
329,"                  Srinivasa, Siddhartha",Not available,Not available,Not available
330,"                  Stanton, John",Civil Engineering,Civil Engineering,Mechanical Sciences
331,"                  Starbird, Kate",Technology,,
332,"                  Stayton, Patrick",Not available,Not available,Not available
333,"                  Steele, Kat",Stanford University,Stanford University,Colorado School of Mines
334,"                  Stevens, Kelly",Not available,Not available,Not available
335,"                  Storti, Duane",Cornell University,,Cornell University
336,"                  Studholme, Colin",Not available,Not available,Not available
337,"                  Stuve, Eric",Stanford University,Stanford University,University of Wisconsin
338,"                  Suciu, Dan",Not available,Not available,Not available
339,"                  Sun, Ming-Ting",Not available,Not available,Not available
340,"                  Taghvaei, Amir",University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,"Sharif University of Technology,  Sharif University of Technology"
341,"                  Tanimoto, Steve",Not available,Not available,Not available
342,"                Tarczy-Hornoch, Peter",Not available,Not available,Not available
343,"                  Tatlock, Zachary",Not available,Not available,Not available
344,"                  Taylor, Alyssa",Not available,Not available,Not available
345,"                Taylor, Michael",Not available,Not available,Not available
346,"                  Thachuk, Chris",Not available,Not available,Not available
347,"                  Thomas, Wendy",Not available,Not available,Not available
348,"                  Thomson, Jim",MIT/WHOI,,
349,"                  Thonstad, Travis",University of Washington,University of Washington,"Oregon State University,  Mathematics"
350,"                  Tian, Rong",Not available,Not available,Not available
351,"                  Torlak, Emina",Not available,Not available,Not available
352,"                Toth, Sandor",Not available,Not available,Not available
353,"                  Trivedi, Rahul",Issue,Issue,
354,"                  Tsvetkov, Yulia",Not available,Not available,Not available
355,"                  Turns, Jennifer",Industrial Engineering,Systems Engineering,
356,"                  Vashisth, Aniruddh",Pennsylvania State University,Pennsylvania State University,
357,"                  Wagner, Linda",,Strategic Design Planning & Human-Centered Design,
358,"                  Wang, Junlan",University of Illinois at Urbana-Champaign,University of Science and Technology of China,University of Science and Technology of China
359,"                  Wang, Ruikang (Ricky)",Not available,Not available,Not available
360,"                  Wang, Sheng",Not available,Not available,Not available
361,"                  Wang, Yinhai",University of Tokyo,"University of Washington,  Tsinghua University",Tsinghua University
362,"                  Wang, Xi",Not available,Not available,Not available
363,"                  Wartman, Joseph",University of California,University of California,
364,"                  Weber, Robbie",Not available,Not available,Not available
365,"                White, Nathan",Not available,Not available,Not available
366,"                  Wiebe, Richard",Duke University,,
367,"                  Wiggins, Paul",Not available,Not available,Not available
368,"                  Williams, Owen",Mechanical and Aerospace Engineering,Aeronautical Engineering,
369,"                  Wilson, Denise",Not available,Not available,Not available
370,"                Winebrenner, Dale",Not available,Not available,Not available
371,"                  Winkler, Mari","Delft University of Technology,  Columbia University","University of Duisburg Essen,  University of British Columbia","University of Duisburg Essen,  University of New South Wales"
372,"                Wobbrock, Jacob","Delft University of Technology,  Columbia University","University of Duisburg Essen,  University of British Columbia","University of Duisburg Essen,  University of New South Wales"
373,"                  Woodrow, Kim",Not available,Not available,Not available
374,"                  Xiao, Di",University of Texas at Austin,,Peking University
375,"                  Xu, Xiaodong",University of Michigan,,University of Science and Technology of China
376,"                  Yager, Paul",Not available,Not available,Not available
377,"                  Yamaura, Julian",,University of Washington,University of Washington
378,"                  Yan, Chiwei",Massachusetts Institute of Technology,,Tsinghua University
379,"                  Yang, Jihui",University of Michigan,"Wayne State University,  University of Oregon",Fudan University
380,"                  Yang, Jinkyu ""JK""",Aeronautics and Astronautics,Aeronautics and Astronautics,
381,"                  Yankowitz, Matthew",Physics,,
382,"                Yazdan-Shahmorad, Azadeh",Not available,Not available,Not available
383,"                Yoganarasimhan, Hema",Not available,Not available,Not available
384,"                  Yu, Qiuming",,,Nanjing University
385,"                  Zachry, Mark",Iowa State University,,
386,"                  Zahorjan, John",Not available,Not available,Not available
387,"                  Zettlemoyer, Luke",Not available,Not available,Not available
388,"                  Zhang, Shuai",,,
389,"                  Zhang, Amy",Not available,Not available,Not available
390,"                  Zhang, Baosen",Not available,Not available,Not available
391,"                  Zhang, Miqin",University of California at Berkeley,,
392,"                  Zhao, Chaoyue",University of Florida,,Fudan University
393,"                  Zheng, Ying",Not available,Not available,Not available
394,"                  Zobeiry, Navid",,,
